city,date,fare,ride_id
Sarabury,2016-04-02 04:32:25,38.03,4932495851866
West Oscar,2016-10-05 22:23:02,32.64,7916984508100
Edwardsbury,2016-01-28 23:28:57,26.61,6097852530810
Arnoldview,2016-03-24 05:50:15,38.73,9909352484494
Swansonbury,2016-01-04 20:54:04,17.1,7449364616114
Port Johnstad,2016-11-19 02:08:55,34.47,3218497808314
South Louis,2016-06-19 05:30:03,35.29,0319785584804
Lisaville,2016-01-06 03:50:10,19.6,0239487697551
New Maryport,2016-02-10 05:36:14,23.41,0397475291942
West Dawnfurt,2016-07-24 15:18:57,30.8,3839329929610
Davidtown,2016-10-12 17:56:31,24.65,9382980155712
West Peter,2016-08-16 23:26:16,7.25,1040904625038
Spencertown,2016-01-16 18:28:03,35.59,7002933670322
Rodriguezburgh,2016-11-21 10:41:56,26.13,6513545702246
Russellport,2016-09-08 17:46:03,13.81,1034339681561
Rodriguezburgh,2016-05-22 21:34:07,8.83,5135321621391
West Brandy,2016-08-19 03:53:38,17.72,1904212005602
South Roy,2016-11-20 02:09:58,6.81,6512612750531
Russellport,2016-02-02 20:46:31,18.96,7234982138755
Zimmermanmouth,2016-08-11 11:17:38,5.97,7276044030126
Sarabury,2016-06-23 05:03:41,26.82,6711035373406
East Douglas,2016-10-01 19:07:00,16.36,8450340983211
Kellershire,2016-11-02 16:34:41,15.29,7136970429336
Davistown,2016-02-29 22:39:26,15.58,2605125055829
Davistown,2016-05-26 20:42:36,12.96,3749975593991
Mooreview,2016-05-31 13:20:24,24.82,9881448402158
Zimmermanmouth,2016-08-01 20:38:52,34.95,2258161061820
Port Johnstad,2016-08-21 08:03:31,15.92,4308926263704
Port Josephfurt,2016-09-20 19:27:35,14.0,2465241563666
East Douglas,2016-07-19 07:42:04,11.24,8566233760392
East Douglas,2016-09-20 02:40:41,23.26,0825335145222
Torresshire,2016-05-24 15:47:08,29.25,9781946552709
West Brandy,2016-10-04 21:18:38,20.62,1064604032088
New Christine,2016-01-26 13:18:17,23.52,1415478418209
New Andreamouth,2016-11-18 15:01:25,17.64,8669842502879
Lisatown,2016-10-14 09:22:04,33.4,9894794967721
Port Johnstad,2016-08-27 18:09:13,22.48,9410972024170
Wiseborough,2016-09-12 00:38:50,20.62,8634932507263
South Bryanstad,2016-08-12 12:15:35,21.78,7006435894279
New Maryport,2016-02-26 22:31:15,19.52,0392575904754
West Jefferyfurt,2016-02-18 04:54:07,7.71,5375229465585
New David,2016-07-08 23:48:54,31.51,4504825560306
Nguyenbury,2016-11-08 19:22:04,19.49,1702803950740
Swansonbury,2016-11-26 12:07:06,43.98,4622629065145
Prattfurt,2016-05-13 22:09:10,11.3,5490281721377
New Aaron,2016-10-04 21:47:13,42.87,3212713367333
Davistown,2016-06-07 18:54:40,22.35,7312472946247
Stewartview,2016-06-30 23:03:42,15.58,2449180773119
West Jefferyfurt,2016-06-15 22:30:43,20.25,2462322760709
Vickimouth,2016-06-17 04:23:36,40.88,2616108795939
South Louis,2016-09-08 02:07:21,38.81,9677721784086
New David,2016-09-11 05:05:48,10.05,1690993450433
West Dawnfurt,2016-03-06 18:21:13,28.26,3899054595030
Davistown,2016-01-14 06:15:56,7.61,9210055628598
Port Josephfurt,2016-07-01 23:19:21,5.6,3234929453440
Alvarezhaven,2016-04-18 20:51:29,31.93,4267015736324
West Peter,2016-02-04 05:21:21,32.23,5464913219631
New Andreamouth,2016-08-22 06:59:40,43.14,5027353344310
Wiseborough,2016-10-29 19:14:58,13.85,8841221112569
East Douglas,2016-04-02 13:49:14,28.17,3800595642657
Kelseyland,2016-04-17 06:59:50,5.54,7466473222333
Smithhaven,2016-04-26 16:06:26,30.35,8277767411680
West Jefferyfurt,2016-06-08 06:50:52,22.13,8737367087802
Alvarezhaven,2016-08-01 00:39:48,6.42,8394540350728
West Peter,2016-01-11 14:29:59,10.13,0060400779470
Sarabury,2016-09-30 12:48:34,30.3,6388737278232
Yolandafurt,2016-07-03 17:13:53,32.91,1045867165508
Lake Jennaton,2016-06-12 21:55:26,15.68,6360386076803
Lake Jeffreyland,2016-12-04 12:34:11,17.25,3972159758798
Spencertown,2016-08-11 12:33:41,12.76,0452574991633
Nguyenbury,2016-03-19 13:08:09,35.07,9198401002936
Alyssaberg,2016-04-29 20:53:30,19.77,0044295036528
Yolandafurt,2016-06-01 01:49:06,31.05,0308132266739
Davidtown,2016-08-07 11:22:14,35.99,8759291063608
Davistown,2016-04-26 03:20:31,17.22,7893586299172
Fosterside,2016-04-01 04:46:39,13.17,2912135299250
West Peter,2016-01-25 13:57:53,27.53,5400221539672
West Brittanyton,2016-06-07 07:40:57,16.54,9656275609373
Port Martinberg,2016-06-12 10:31:30,38.4,2185801400452
Travisville,2016-03-01 19:20:31,33.99,3329473853492
West Sydneyhaven,2016-10-16 09:38:42,5.07,3086950951569
West Oscar,2016-11-26 13:24:34,44.48,8256626498055
Sandymouth,2016-10-03 05:05:10,20.3,9267605063828
Spencertown,2016-06-14 16:52:30,8.58,8124141597846
Carrollfort,2016-01-02 18:46:46,40.84,3714119486484
Pamelahaven,2016-07-12 02:19:07,44.39,8861487145996
South Louis,2016-07-26 16:34:27,33.19,6568406414554
West Peter,2016-06-07 02:32:33,27.05,1007050766497
Lisaville,2016-02-05 02:25:34,37.01,4010739308021
New Aaron,2016-10-18 23:07:01,27.41,4273352984502
Travisville,2016-10-16 19:55:33,25.52,2615527029618
Lake Jeffreyland,2016-08-29 05:21:28,7.69,7920890699425
Stewartview,2016-05-29 22:39:17,39.36,4912899618265
Alvarezhaven,2016-09-01 22:57:12,18.09,1197329964911
Prattfurt,2016-02-03 14:17:58,13.15,3249005020508
Arnoldview,2016-03-29 20:04:52,32.63,8172040679569
East Erin,2016-10-04 10:31:59,32.35,3963883373388
Rodriguezburgh,2016-10-07 11:09:50,25.19,7709877217148
Sarabury,2016-08-04 00:25:52,27.2,2429366407526
Alyssaberg,2016-01-17 07:11:21,21.03,3138020890244
Arnoldview,2016-02-14 02:12:58,34.2,5949268564952
Kelseyland,2016-05-04 15:06:07,30.54,2140501382736
West Oscar,2016-07-20 23:09:53,13.62,3418054971844
Rodriguezburgh,2016-06-11 21:01:35,27.66,6959463827218
Lake Jeffreyland,2016-04-10 15:48:48,38.54,7589586454429
Lake Jennaton,2016-05-21 13:23:13,35.1,2651836106343
Jacobfort,2016-03-13 23:58:48,13.72,3114245954411
Swansonbury,2016-10-20 08:38:04,9.85,0956191227071
Fosterside,2016-01-19 01:06:19,10.11,7226694900591
Kelseyland,2016-01-25 20:44:56,12.08,1896987891309
Stewartview,2016-10-27 13:17:27,37.12,3869246419390
Russellport,2016-08-05 05:51:10,43.57,1405839416890
Williamshire,2016-01-30 07:31:03,34.93,6848867019018
Pearsonberg,2016-02-08 03:40:56,23.2,2168468041107
West Dawnfurt,2016-09-18 18:24:17,19.67,2851656538564
Pearsonberg,2016-09-16 03:21:55,40.56,2942923988585
Travisville,2016-08-05 08:01:53,17.8,6636226910096
Spencertown,2016-10-01 19:56:45,11.43,6593096228570
Edwardsbury,2016-08-25 21:23:25,15.4,4382199002444
New David,2016-03-29 09:41:20,24.47,8594133966682
Spencertown,2016-05-10 04:55:12,5.13,3220127429066
West Sydneyhaven,2016-08-06 19:00:42,16.35,2843507224931
Eriktown,2016-01-18 17:58:19,23.56,7950685654605
West Brandy,2016-06-16 10:11:35,13.25,1348406500045
East Erin,2016-10-06 18:54:55,36.97,9199037124955
New Andreamouth,2016-08-23 23:45:29,23.05,4340058285247
Carrollfort,2016-03-07 22:54:10,16.4,2234985643749
Jacobfort,2016-07-19 12:38:21,43.64,9414931729816
Lake Jeffreyland,2016-05-29 13:39:18,16.0,9147017027284
West Dawnfurt,2016-01-03 11:35:45,6.69,7455207171412
Alyssaberg,2016-05-09 01:35:14,17.56,2796711976151
Eriktown,2016-02-27 23:17:20,20.3,0154182897351
West Jefferyfurt,2016-11-22 21:50:07,11.74,3338056080828
South Louis,2016-04-20 15:42:03,27.26,7924974337784
East Douglas,2016-10-19 20:25:16,28.18,6204409645686
West Brittanyton,2016-05-22 05:49:44,25.1,9598588567912
Smithhaven,2016-03-27 09:25:01,21.18,0105529334350
Port Josephfurt,2016-10-26 09:01:30,9.48,8359941011708
Edwardsbury,2016-07-15 15:36:30,12.65,3065372869423
Prattfurt,2016-07-14 14:58:39,7.22,3428800534766
Port Johnstad,2016-05-26 05:12:55,40.24,2895967596189
South Bryanstad,2016-07-27 16:58:49,38.3,0257500253836
Arnoldview,2016-07-12 04:33:22,30.88,0564769023118
New Andreamouth,2016-01-02 02:30:39,18.51,4484116538552
Arnoldview,2016-01-12 01:10:56,35.07,9029197394649
West Dawnfurt,2016-09-25 16:35:54,22.28,9242784905015
Prattfurt,2016-07-05 13:53:10,35.82,5594924751117
Smithhaven,2016-09-26 10:18:39,33.45,8539342573320
Lisaville,2016-03-12 13:26:42,10.61,6544353421920
Eriktown,2016-03-08 05:38:56,16.34,4824338773568
New Andreamouth,2016-11-28 01:14:54,33.11,0231866596752
West Alexis,2016-09-03 02:23:56,22.86,8393534675892
Maryside,2016-07-20 01:03:51,14.07,0987385552129
West Alexis,2016-06-28 16:34:41,12.92,5992374822461
Sarabury,2016-07-25 10:44:01,17.73,4467299640441
Vickimouth,2016-05-05 21:32:36,4.54,2443254047182
Alyssaberg,2016-02-07 05:19:26,23.44,2983583783981
Smithhaven,2016-03-31 01:06:39,32.58,7973806871682
New Christine,2016-02-22 12:18:36,25.21,9932058462800
West Oscar,2016-09-22 23:20:26,23.34,9218804614069
Alyssaberg,2016-07-20 22:47:27,8.73,2796624267728
Davistown,2016-04-10 11:11:22,4.36,0074296958741
Prattfurt,2016-11-18 17:37:57,5.1,9084182452384
New Jeffrey,2016-03-20 00:51:56,38.49,1577200130190
New David,2016-10-20 18:30:59,5.48,5201786146257
South Bryanstad,2016-05-16 15:36:19,9.15,5125461669650
South Roy,2016-04-14 03:24:49,9.77,0664212477922
Jacobfort,2016-07-20 15:44:50,21.57,8210929698932
Stewartview,2016-01-30 04:01:09,6.28,1190676544959
New Jeffrey,2016-05-17 08:07:38,21.4,0644161168324
Davidtown,2016-10-13 23:41:18,10.56,2833681147171
Arnoldview,2016-11-18 12:47:21,4.92,8534735733800
Swansonbury,2016-10-14 12:46:35,30.17,8693419258883
New David,2016-09-11 15:12:15,22.16,2625948382445
Port Samantha,2016-03-03 08:04:55,11.95,9675758344587
Port Johnstad,2016-09-29 11:48:24,35.67,9849036104754
Nguyenbury,2016-05-12 15:57:15,41.63,0224683791660
Sarabury,2016-06-22 16:24:01,23.94,6153395712431
Torresshire,2016-11-27 18:13:47,16.04,7446936449859
Lake Jeffreyland,2016-02-29 19:08:06,41.18,0592689263451
Stewartview,2016-02-03 07:47:55,14.78,8863628427671
Russellport,2016-09-18 11:54:02,23.41,3915848678847
Smithhaven,2016-04-16 11:09:22,7.43,5771727115432
Lake Sarashire,2016-08-25 04:25:38,4.27,6739162487056
Wiseborough,2016-02-23 02:21:54,4.06,5772409201337
Lake Sarashire,2016-07-28 11:27:00,40.77,0489025361264
New Jeffrey,2016-07-01 22:39:48,34.02,3643931487976
Lisaville,2016-03-14 19:58:33,36.95,6369117726062
Alvarezhaven,2016-08-18 07:12:06,20.74,0357421158941
Carrollfort,2016-10-09 08:58:21,4.56,0953777855826
Carrollfort,2016-08-24 05:23:57,44.26,2311815992922
Kelseyland,2016-08-09 18:19:47,17.91,8784212854829
Swansonbury,2016-04-03 23:58:22,36.5,3848156310607
New Maryport,2016-03-16 05:00:28,38.55,1518943690268
Port Johnstad,2016-10-14 10:57:22,19.6,2812460233557
Zimmermanmouth,2016-09-19 02:40:07,16.21,4966546004949
East Douglas,2016-09-19 09:23:08,34.17,8612766947608
Kelseyland,2016-10-24 15:15:46,33.56,4797969661996
Travisville,2016-03-29 11:14:46,12.26,2806178553809
Mooreview,2016-08-28 08:58:57,16.54,4559523215386
Alyssaberg,2016-11-25 17:30:59,25.27,2037593736588
Williamshire,2016-10-01 15:14:16,10.67,9934352171372
East Erin,2016-02-15 16:23:57,40.94,8041254000431
Sarabury,2016-01-27 17:46:45,16.39,8220809448298
Williamshire,2016-01-12 04:22:31,35.94,7083499369219
Antoniomouth,2016-03-05 02:55:42,19.91,0644874337642
West Sydneyhaven,2016-04-08 01:17:32,20.06,4856099661860
Sandymouth,2016-03-07 23:43:54,5.72,7962314626945
Torresshire,2016-11-16 09:35:09,17.84,9441117233003
Kelseyland,2016-06-06 13:54:23,20.81,9811478565448
Stewartview,2016-02-11 13:11:56,35.86,7768012346389
Pamelahaven,2016-09-29 11:08:23,12.82,2549169227210
West Brandy,2016-02-03 20:21:04,35.59,6779328101907
West Jefferyfurt,2016-02-09 05:04:40,22.54,0862555711851
East Erin,2016-06-03 19:16:45,7.84,7261592737771
Spencertown,2016-05-24 21:33:23,31.76,8578989365776
Alyssaberg,2016-09-09 14:29:01,25.85,1039138299689
Lake Jeffreyland,2016-05-24 07:38:48,10.99,9239376928385
South Roy,2016-07-06 07:37:56,21.04,0900025947383
East Erin,2016-07-01 20:56:18,19.79,6310193434952
Lisatown,2016-11-29 05:03:21,25.37,8786270280411
East Douglas,2016-02-10 03:30:56,33.08,3357256703085
Jacobfort,2016-05-27 12:40:15,38.52,3063194571395
South Bryanstad,2016-11-30 08:27:31,19.24,9277201330132
Mooreview,2016-11-29 05:43:38,32.91,2686245541911
Lake Stevenbury,2016-01-11 19:57:44,41.05,5280521242881
Vickimouth,2016-12-02 05:12:08,36.72,2884304595749
East Douglas,2016-08-21 22:32:08,7.9,4788757321451
South Louis,2016-08-05 11:29:37,28.07,1494810441587
Torresshire,2016-06-05 15:15:00,29.85,1535669926716
Spencertown,2016-02-12 21:25:07,30.82,8226614157011
West Dawnfurt,2016-05-21 23:19:19,14.49,6407066467749
Rodriguezburgh,2016-04-24 03:23:58,18.91,9058168986279
New Jeffrey,2016-09-28 06:19:36,18.42,2257564362688
Kellershire,2016-11-08 04:54:06,6.21,9858075633262
Spencertown,2016-02-07 12:18:49,44.67,6135648364857
West Oscar,2016-05-27 00:31:44,11.18,2381359390928
West Oscar,2016-01-18 23:15:35,23.67,9041743240682
Kellershire,2016-11-09 16:14:43,11.52,6538331317084
Jacobfort,2016-11-15 14:39:20,10.12,2624500477551
Arnoldview,2016-06-30 21:18:52,36.65,1727135103213
West Alexis,2016-03-01 05:36:11,25.93,0984264694154
South Josephville,2016-10-06 03:53:57,28.19,2604125036913
New Christine,2016-05-29 15:42:22,14.9,3593553821248
South Louis,2016-09-11 16:28:47,22.08,7454178540432
Williamshire,2016-07-05 10:54:00,28.32,5678094637782
East Douglas,2016-11-14 13:10:08,22.83,4916688973313
Yolandafurt,2016-02-28 11:02:09,36.0,6313980463869
Lake Sarashire,2016-03-17 11:47:21,16.67,1790621665083
Torresshire,2016-10-02 01:20:32,5.45,7856077900797
New Maryport,2016-02-07 16:58:41,21.94,1134181964123
West Oscar,2016-08-19 15:24:05,26.3,1574023098478
Kimberlychester,2016-08-17 13:49:36,39.29,7660014461971
Williamshire,2016-01-19 13:24:50,28.73,3631350485185
Kimberlychester,2016-01-13 01:17:07,41.06,3470563586575
Prattfurt,2016-01-22 08:38:41,12.49,8746582299907
Zimmermanmouth,2016-07-23 19:20:11,28.89,1529363655249
Zimmermanmouth,2016-05-04 18:32:14,20.96,6490497681785
Lake Jeffreyland,2016-08-03 19:10:44,37.24,7168808422868
New Andreamouth,2016-01-10 16:33:50,41.15,8727097965242
Lake Jennaton,2016-12-02 20:30:58,7.37,4330065632813
Antoniomouth,2016-08-27 06:53:18,33.31,6663823307127
New David,2016-10-15 12:01:56,25.55,5572927950812
Antoniomouth,2016-08-19 14:45:25,20.67,5230053373966
Smithhaven,2016-06-23 08:23:26,15.18,8197916537514
Edwardsbury,2016-08-03 22:39:25,19.85,3684051636585
Jacobfort,2016-08-08 12:21:06,16.87,2839360764097
Williamshire,2016-10-12 20:05:38,43.59,5754483138563
Torresshire,2016-01-21 06:22:47,13.88,3848669531353
Maryside,2016-01-22 17:16:28,17.0,3252915959295
West Oscar,2016-08-16 03:32:57,9.08,3869784242764
South Josephville,2016-03-11 23:05:39,29.12,7477161326509
Lake Stevenbury,2016-05-01 21:55:35,15.75,7025678870130
Jacobfort,2016-07-19 22:19:09,20.36,3067221287778
Port Samantha,2016-10-05 02:16:11,6.99,3734162279673
South Louis,2016-10-11 00:43:36,4.54,3590839261736
Port Samantha,2016-03-07 07:34:57,39.5,3549874021157
South Josephville,2016-03-24 18:38:25,13.73,1488440031973
Alvarezhaven,2016-04-04 23:45:50,14.25,6431434271355
West Peter,2016-04-12 16:00:50,7.51,7110146345941
Kimberlychester,2016-10-22 02:54:01,19.07,6696747408045
Lake Jeffreyland,2016-05-15 14:22:29,17.85,8497225042045
West Brittanyton,2016-01-16 22:15:15,37.64,8412175932840
West Oscar,2016-05-27 18:18:32,11.4,5323060382479
Lisatown,2016-07-10 03:14:32,40.36,1797156129981
South Josephville,2016-08-28 04:52:03,38.51,4250063766740
Kelseyland,2016-08-10 07:02:40,44.53,1563171128434
Arnoldview,2016-09-18 10:09:59,37.37,2403254812791
Stewartview,2016-01-01 09:25:05,6.83,7890904538401
Sarabury,2016-04-26 11:31:30,21.8,5969441875705
Spencertown,2016-03-28 06:14:53,42.67,1235393133175
Yolandafurt,2016-11-20 11:01:23,24.95,3736563482430
Eriktown,2016-06-24 06:41:23,40.41,0024231019266
Torresshire,2016-09-20 12:58:57,8.31,3854971970674
South Roy,2016-01-29 17:29:43,18.61,5084084186718
Rodriguezburgh,2016-02-28 23:49:42,9.86,1782129061191
Aprilchester,2016-02-20 19:30:53,27.84,3702797861303
Alvarezhaven,2016-10-31 05:33:55,20.23,4348900295000
Pamelahaven,2016-09-21 03:18:04,13.95,8123394334772
Fosterside,2016-11-07 00:00:09,17.92,7423393375419
East Douglas,2016-09-29 14:23:27,21.49,9991382143762
Mooreview,2016-08-29 03:50:13,16.43,2394943629519
Carrollfort,2016-01-24 13:10:26,7.15,4138258942493
South Louis,2016-10-29 18:46:47,30.73,3068777385574
New Jeffrey,2016-06-06 14:29:52,34.35,0722026316506
Swansonbury,2016-10-20 02:30:17,11.29,5297420254082
Mooreview,2016-05-06 02:19:34,38.1,9853666725593
Lake Jennaton,2016-10-17 09:44:57,16.98,8336566298936
Davidtown,2016-07-03 17:33:01,17.6,9775771647730
East Erin,2016-08-07 06:28:28,12.56,3376154209130
Rodriguezburgh,2016-05-30 18:12:29,14.51,8432927570571
Mooreview,2016-06-19 07:05:56,39.02,4559373421654
Spencertown,2016-07-23 00:02:35,7.74,8390473678960
Williamshire,2016-04-21 20:53:46,12.62,8433632132412
New Aaron,2016-08-12 22:11:17,12.53,7862268645958
Vickimouth,2016-04-27 09:28:48,31.47,0172282266617
Arnoldview,2016-05-17 16:41:37,17.7,5256309963774
Kimberlychester,2016-03-19 22:17:53,10.33,3842208960239
Lisatown,2016-11-13 09:11:23,16.36,5296107649616
South Roy,2016-06-03 17:48:12,43.5,5316443198767
Davistown,2016-02-09 06:40:28,29.58,6521927976987
Torresshire,2016-06-07 11:48:53,23.86,3002268912986
Antoniomouth,2016-05-02 17:52:36,8.43,4177920769860
Lisatown,2016-01-07 09:55:12,18.64,5461809747902
Lisatown,2016-05-19 12:41:21,20.22,4066673361882
Port Johnstad,2016-11-06 21:03:01,10.58,8042275432980
Davidtown,2016-10-18 12:27:57,14.48,8267824112339
Travisville,2016-10-28 09:02:18,35.69,6801310456815
Sandymouth,2016-04-10 14:31:57,5.42,4362223791636
Swansonbury,2016-09-24 08:14:46,13.77,3912826230530
West Brandy,2016-06-22 20:17:39,26.96,9894677747082
West Brandy,2016-10-19 14:01:01,27.77,9200104175364
Alyssaberg,2016-05-27 05:36:01,21.59,6752854351121
West Oscar,2016-06-28 02:11:17,25.68,0616092585143
Edwardsbury,2016-06-08 09:17:05,39.28,4315580722201
Swansonbury,2016-03-12 15:20:44,38.41,2213459694647
Alyssaberg,2016-07-07 01:18:48,7.18,0622281532485
Kelseyland,2016-07-05 17:37:13,29.02,6897992353955
Smithhaven,2016-05-16 10:13:52,5.39,9845186631775
Arnoldview,2016-04-08 04:59:37,6.7,2434629578387
Jacobfort,2016-10-20 15:51:33,21.31,0116694245921
Lisatown,2016-04-16 11:51:23,44.98,0410481603766
New Christine,2016-06-30 04:33:50,17.33,0725597058295
Sandymouth,2016-08-21 01:56:37,35.97,1976034846787
Sandymouth,2016-06-27 13:58:28,38.59,1270700271874
Sandymouth,2016-07-01 00:43:08,37.75,8238112205033
South Roy,2016-08-23 08:57:06,6.73,0182674615916
Zimmermanmouth,2016-02-11 19:07:24,14.5,7547394650211
Swansonbury,2016-07-25 14:20:40,29.38,6195714226915
Arnoldview,2016-03-23 06:59:06,21.61,0590312525501
Kimberlychester,2016-07-21 14:54:48,23.55,9279592186428
South Bryanstad,2016-10-18 09:58:01,22.27,7393135081574
Edwardsbury,2016-07-05 10:59:42,42.67,6068970709600
East Erin,2016-09-25 07:45:13,27.75,9261822636384
Davistown,2016-01-26 20:57:39,18.24,4209889453877
Lisaville,2016-07-01 03:28:20,29.41,6428548423794
Sandymouth,2016-05-03 00:51:33,30.58,5314417879933
Lake Jennaton,2016-04-17 02:48:46,30.98,4134453537083
Smithhaven,2016-09-22 00:49:06,22.51,1161059021978
West Brandy,2016-06-02 16:31:26,6.82,6187119773231
Carrollfort,2016-04-10 07:24:35,18.01,2936035802396
South Louis,2016-02-25 14:35:08,39.4,8085468342574
Maryside,2016-09-13 14:45:23,37.61,1477879530959
Davistown,2016-07-23 22:14:12,24.76,6219889747607
Kimberlychester,2016-10-24 16:48:27,4.49,3691619246759
Stewartview,2016-02-28 04:05:02,13.46,4418289190361
West Brittanyton,2016-05-06 20:52:37,30.02,0346465520517
Lake Stevenbury,2016-01-05 10:15:15,8.47,1245071864895
New David,2016-02-28 01:45:44,31.83,9636409504323
Williamshire,2016-02-14 09:59:14,12.44,5622262765746
West Brittanyton,2016-11-10 07:06:56,4.13,8152035211745
Zimmermanmouth,2016-05-25 14:46:47,41.96,5202604424953
Antoniomouth,2016-10-22 01:49:54,6.05,1700566631906
Travisville,2016-06-17 09:02:35,19.79,0601668747551
West Dawnfurt,2016-10-18 02:10:08,43.77,1006219353516
Kelseyland,2016-04-25 02:18:31,20.05,1148374505062
Russellport,2016-07-11 08:01:46,37.34,9625459203447
Sandymouth,2016-11-24 10:24:04,41.22,2824348332856
West Jefferyfurt,2016-01-24 02:50:15,33.17,7509497742668
West Brandy,2016-07-05 04:36:24,13.56,7146043518843
Prattfurt,2016-01-21 22:17:57,35.32,2845558942192
Lisaville,2016-03-15 02:55:02,18.78,7907967448834
West Dawnfurt,2016-10-15 06:23:21,8.69,3817399950789
Aprilchester,2016-10-04 14:22:56,19.92,6787220390480
Jacobfort,2016-09-18 04:50:40,9.6,7250657864255
Prattfurt,2016-02-01 18:49:18,34.91,1845873007621
West Peter,2016-07-12 03:26:57,19.03,6598651316433
East Erin,2016-01-16 18:15:20,11.35,1249552835589
Travisville,2016-05-28 00:34:28,36.69,0895087034808
Jacobfort,2016-10-09 19:57:22,31.35,8006166614886
Lake Sarashire,2016-04-26 18:05:08,9.02,7690296870949
Nguyenbury,2016-04-07 06:59:51,19.01,4648481871830
Kellershire,2016-06-25 06:44:32,26.28,9320172930167
Lake Stevenbury,2016-03-05 14:09:49,27.68,0715826371882
Lake Sarashire,2016-07-09 05:23:27,21.92,1008603504559
West Jefferyfurt,2016-09-08 05:29:46,20.41,0740732982389
Wiseborough,2016-07-01 03:59:01,8.28,1126926512034
Spencertown,2016-03-04 07:28:42,44.15,2928794971925
Carrollfort,2016-11-29 19:04:51,23.59,9661862142751
Jacobfort,2016-11-18 16:19:23,37.31,6743283573826
Wiseborough,2016-11-26 17:24:18,7.42,6768638420259
Jacobfort,2016-11-10 05:11:59,22.1,3637540357249
New Andreamouth,2016-11-05 02:09:24,41.26,6728388446206
Alyssaberg,2016-10-28 00:13:05,40.47,7114653428807
